COD_PRESTAZIONE,COD_ATC5,DESCRIZIONE,QUANTITA,VDS,UM,GG,UNITA_POSOLOGIA,TITOLARE_AIC
0021647045,J01CA01,"AMPILISA*IM 1F 500MG+F 3,5ML","0000000006,000",P,g,,1,LISAPHARMA SpA
0021977069,J01EE01,EUSAPRIM*FTE OS SOSP FL 100ML,,,,,1,GLAXOSMITHKLINE SpA
0022264028,J01CF,DICLOCILLIN*12CPS 500MG,,,,,,LAGAP Srl
0021856024,J01AA02,FARMODOXI*10CPS 100MG,"0000000000,100",O,g,,10,ITALFARMACO SpA
0022143212,J07BB,"BEGRIVAC*1FSIR 0,5ML 1995-96",,,,,,HOECHST MARION ROUSSEL SpA
0022143224,J07BB,BEGRIVAC*FL 10ML(20DOSI) 95-96,,,,,,HOECHST MARION ROUSSEL SpA
0022143236,J07BB02,"BEGRIVAC*1F 0,5ML 1996-97",,,,,,HOECHST MARION ROUSSEL SpA
0021599067,L03AA,LEUCOTROFINA*SCIR 100ML,,,,,,PIERRE FABRE PHARMA Srl
0021923014,J01AA,BENCICLINA*8CPS 300MG,,,,,,BENVEGNA Srl
0022146068,J01AA02,DOXICICLINA EG*5CPS 100MG,"0000000000,100",O,g,,,EG SpA
0022146082,J01AA02,DOXICICLINA EG*12CPS 100MG,"0000000000,100",O,g,,,EG SpA
0021620036,J01AA,"TREISCICLINA*SCIR 60ML 1,485%",,,,,,ECOBI FARMACEUTICI Sas
0022177036,J04AM,ETIBI INH*40CPR 400MG+133MG,,,,,40,FARMACEUTICI FORMENTI SpA
0022395026,L01DC01,BLEOPRIM*INIET 1FL 15MG,"0000000004,300",P,TU,"3,4880000000",1,SANOFI SpA
0022399048,J01CA01,PENTREXYL*12CPS 500MG,"0000000002,000",O,g,,,BRISTOL-MYERS SQUIBB Srl
0022399051,J01CA01,PENTREXYL*BB OS SOSP 10ML,"0000000002,000",O,g,,,BRISTOL-MYERS SQUIBB Srl
0022546016,J06BB15,IMMUNOPAROT*IM 1F 2ML 10000UI,,,,,1,I.S.I. SpA
0022547018,J06BB01,IMMUNORHO*IM 1FL300MCG+1F 2ML,"0000000000,200",P,mg,"1,5000000000",1,KEDRION SpA
0022399113,J01CA01,PENTREXYL*INIET FL 1G+F 3ML,"0000000006,000",P,g,"0,1670000000",1,BRISTOL-MYERS SQUIBB Srl
0022701015,J06AA03,SIERO ANTIVIP.PURIF.*F 10ML,,,,,,HARDIS SpA
0022888022,J01EE01,GANTRIM*AD 30CPR,,,,,30,GEYMONAT SpA
0022888046,J01EE01,GANTRIM*SCIR 100ML,,,,,1,GEYMONAT SpA
0022444020,J01RA01,DIAMPLICIL*12CPS 500MG,,,,,12,PHARMACIA ITALIA SpA
0022745032,J01AA,DOXIVIS*16CPS 100MG,,,,,,VIS SpA
0022903052,J01EE01,GANTAPRIM*SCIR 100ML,,,,,,LENZA Srl
0022928016,J07AX,"BUCCALIN*BB 4CPR 0,2G","0000000001,000",O,cpr,"4,0000000000",4,SIT LABORATORIO FARMAC. Srl
0022492021,J01AA02,RIBOCICLINA*8CPS 100MG,"0000000000,100",O,g,,8,PRODOTTI FORMENTI Srl
0022786038,J01CA03,GEOPEN ORALE*20CPR 500MG,,,,,,PFIZER ITALIA Srl
0022810055,J01DB04,TOTACEF*IV FL 1G+F 10ML,"0000000003,000",P,g,"0,3330000000",1,BRISTOL-MYERS SQUIBB Srl
0022519021,J01AA,METADOMUS*8CPS 300MG,,,,,,MEDICI DOMUS SpA
0022390064,J01CA01,CITICIL*IM 1FL 1G+F 4ML,"0000000006,000",P,g,,,C.T. LAB.FARMACEUTICO Srl
0022393019,L01DB01,ADRIBLASTINA*EV FL 10MG+F,,,,,,FARMITALIA CARLO ERBA Srl
0023301120,J01CA04,PAMOCIL*12CPR 1G,"0000000001,500",O,g,"8,0000000000",12,FARMA 1 Srl
0023052044,J01CA,MOXAL*12CPS 250MG,,,,,,RHONE POULENC RORER SpA
0023052069,J01CA04,"MOXAL*SCIR 100ML 2,5%","0000000001,500",O,g,,,RHONE POULENC RORER SpA
0023426012,J01CA04,IBIAMOX*12CPS 500MG,"0000000001,500",O,g,,,I.B.I.GIOVANNI LORENZINI SpA
0023053150,J01CA04,SINTOPEN*GRAT FL 60ML 250MG 5%,"0000000001,500",O,g,,,MAGIS FARMACEUTICI SpA
0023054048,J01DA,SINTOLEXYN*IM IV 1F 500MG+1,,,,,,ISF SpA
0023054063,J01DA,SINTOLEXYN*IM IV 1F 2G+1F,,,,,,ISF SpA
0023320029,J06BB,MORBULIN*IM 1FL 2ML 16%,,,,,,IMMUNO Srl
0023189018,J01GB01,NEBICINA*IM IV 1F 100MG 2ML,"0000000000,240",P,g,"0,4170000000",1,TEOFARMA Srl
0023189057,J01GB01,NEBICINA*IM IV FL 150MG 2ML,"0000000000,240",P,g,"0,6250000000",1,TEOFARMA Srl
0023189069,J01GB01,NEBICINA*1SIR 100MG 2ML,"0000000000,240",P,g,,1,ELI LILLY ITALIA SpA
0023189083,J01GB01,NEBICINA*INIET 1F 300MG 4ML,"0000000000,240",P,g,,,ELI LILLY ITALIA SpA
0023336175,J01CA04,NEOTETRANASE*OS SOSP 100ML,,,,,,ROTTAPHARM Srl
0023428016,J01CA04,CLAMOXIL 375*12CPS,,,,,,SMITHKLINE BEECHAM SpA
0023097126,J01CA04,VELAMOX*BB OS GRAT 50G,,,,,,SMITHKLINE BEECHAM SpA
0023362041,L02BA01,NOLVADEX*20CPR RIV 20MG,"0000000020,000",O,mg,"20,0000000000",20,ASTRAZENECA SpA
0023108083,J01CA04,AMOXICILLINA DOC*12CPS 500MG,"0000000001,500",O,g,,12,DOC GENERICI Srl
0023108184,J01CA04,AMOXICILLINA DOC*12CPR 1G,"0000000001,500",O,g,"8,0000000000",12,DOC GENERICI Srl
0022994014,J01EE01,SULFAMET.+TRIMETOPR.PLI*20CPR,,,,,20,PLIVA PHARMA SpA
0023755034,J01DA,DOMUCEF*8CPR 1G,,,,,,MEDICI DOMUS SpA
0023760010,J01CA04,MOPEN*12CPS 500MG,"0000000001,500",O,g,,,F.I.R.M.A. SpA
0023492034,J01XX01,FOSFOCIN*IV 1FL 1G+F 10ML,"0000000008,000",P,g,"0,1250000000",1,CRINOS SpA
0023492111,J01XX01,FOSFOCIN*12CPR OROSOLUB 1G,"0000000003,000",O,g,"4,0000000000",12,CRINOS SpA
0023687041,J01FA,MUCOLYSIN ANTIB.*LATT 10SUPP,,,,,,PROPHINPHARMA SpA
0023692041,J01CA04,AMOXIPEN*12CPS 500MG,"0000000001,500",O,g,,12,METAPHARMA Srl
0023783095,J01DA,RECEF*IV 1F 500MG+F 10ML,,,,,,AANDERSEN FARMACEUTISK INST.
0023609023,J01MB04,PIPRAM*20CPS 400MG,"0000000000,800",O,g,"10,0000000000",20,TEOFARMA Srl
0023723048,J01DB09,CITICEF*IV 1FL 1G 10ML,"0000000002,000",P,g,,,C.T. LAB.FARMACEUTICO Srl
0023445036,J01CR50,INFECTRIN*IM IV 1FL+F 1G,,,,,,PIERREL FARMACEUTICI SpA
0023649041,J01DA,ELECEF*8CPR 1G,,,,,,BENVEGNA Srl
0023853029,J01DB04,CEFAZOLINA TEVA*IM F 500MG+2ML,"0000000003,000",P,g,,1,TEVA ITALIA Srl
0023855075,J01CA,SOBREPIN ANTIBIOTICO*1F 1G+1F,,,,,,HOECHST PHARMA SpA
0024027017,J01DC01,MEFOXIN*IM 1FL 1G+F 2ML,"0000000006,000",P,g,"0,1670000000",1,I.B.N. SAVIO Srl
0023858020,J01MB05,TILVIS*20CPR 750MG,"0000000001,000",O,g,,20,HOECHST MARION ROUSSEL SpA
0024290037,J01FA,MIDECIN*BB OS 12BUST 100MG,,,,,,FARMAKA Srl
0023870052,L01BC01,ALEXAN*IV FL 25ML 500MG,,,,,1,BYK GULDEN ITALIA SpA
0024307023,J01DA07,LAMPOMANDOL*IM 1F 500MG+F 2ML,"0000000006,000",P,g,,,AGIPS FARMACEUTICI Srl
0024307035,J01DC03,LAMPOMANDOL*IM 1FL 1G+F 3ML,"0000000006,000",P,g,,1,AGIPS FARMACEUTICI Srl
0024307047,J01DC03,LAMPOMANDOL*IM 1FL 2G+F 5ML,"0000000006,000",P,g,,,AGIPS FARMACEUTICI Srl
0024308025,J01DC02,LAMPOSPORIN*IM FL 500MG+1F 2ML,"0000000003,000",P,g,,,PROSPA ITALIA Srl
0024330060,J01DA,CEFURIN*IV 1FL 2G,,,,,,MAGIS FARMACEUTICI SpA
0024064026,J01MB04,PIPEDASE*20CPS 400MG,"0000000000,800",O,g,,,CARLO ERBA OTC SpA
0024187041,J01DB05,DURACEF*OS POLV 100ML 250MG/5M,"0000000002,000",O,g,,1,BRISTOL-MYERS SQUIBB Srl
0024328027,J01DC03,CEMADO*IM 1FL 1G+F 3ML,"0000000006,000",P,g,,1,FRANCIA FARMAC.IND.FAR.BIO.Srl
0024070017,J01CA,DUPLAMOX MUCOLITICO*12CPR,,,,,12,SMITHKLINE BEECHAM SpA
0024076150,J01GB06,PIERAMI*IM IV 5F 250MG/2ML,"0000000001,000",P,g,,5,FOURNIER PHARMA SpA
0024227074,J01DC04,PANACEF RM*12CPR 375MG,"0000000001,000",O,g,,12,VALEAS IND.CHIM.FARMAC. SpA
0023911035,J01CA04,SIMOXIL*12CPS 500MG,"0000000001,500",O,g,,12,BENEDETTI SpA
0023915097,J01DB09,LISACEF*OS 100ML 250MG/5ML,"0000000002,000",O,g,,1,LISAPHARMA SpA
0023915109,J01DB09,LISACEF*OS 100ML 500MG/5ML,"0000000002,000",O,g,,1,LISAPHARMA SpA
0023827090,J01DB04,CEFAZOLINA DOROM*IM FL 1G+F4ML,"0000000003,000",P,g,"0,3330000000",1,DOROM Srl
0024254031,L01XA01,PLATINEX*INFUS 10MG 20ML,,,,,1,BRISTOL-MYERS SQUIBB Srl
0023836051,J01DA01,IBILEX*IM IV 1F 500MG+F 3ML,,,,,,I.B.I.GIOVANNI LORENZINI SpA
0023836063,J01DA01,IBILEX*IM IV 1F 1G+F 4ML,,,,,,I.B.I.GIOVANNI LORENZINI SpA
0023836087,J01DA,IBILEX*12CPR 1G,,,,,,I.B.I.GIOVANNI LORENZINI SpA
0023966070,J01CA04,AMOXINA*12CPS 250MG,"0000000001,500",O,g,,12,AESCULAPIUS FARMACEUTICI Srl
0024270023,J01DC02,CEFAMAR*IM 1F 500MG+F 4ML,"0000000003,000",P,g,,,F.I.R.M.A. SpA
0023848031,J07AE,VAC.BEHRING COLERA*1F 50ML,,,,,,IST.BEHRING SpA
0024131017,J01DB04,CEFABIOZIM*IM 1FL 500MG+1F SOL,"0000000003,000",P,g,,1,IPA INTERNAT.PHARM.ASSOC. Srl
0024131031,J01DB04,CEFABIOZIM*IM 1FL 1G+1F 4ML,"0000000003,000",P,g,"0,3330000000",1,IPA INTERNAT.PHARM.ASSOC. Srl
0024275024,J01DA06,POLIXIMA*IM 1F 500MG+F 2ML,"0000000003,000",P,g,,,SIFARMA SpA Div. Canova
0024616031,J05AX05,VIRUSTOP*OS 20BUST 1G,"0000000003,000",O,g,"6,6670000000",20,PULITZER ITALIANA Srl
0024435075,J01XX,FOSFOGRAM*IM 1FL 1G+F 4ML,,,,,,F.I.R.M.A. SpA
0024451041,J01XX,FONOFOS*OS SOSP 60ML,,,,,,PULITZER ITALIANA Srl
0024571046,J07AX,"GINATREN LIOF.*IM3F+3F 0,5ML",,,,,,LPB IST.FARMACEUTICO Srl
0024401010,J01FA07,IOSALIDE*8CPR RIV 500MG,"0000000002,000",O,g,,8,ASTELLAS PHARMA SpA
0024401085,J01FA07,IOSALIDE*12CPR DISPER 500MG,"0000000002,000",O,g,"3,0000000000",12,ASTELLAS PHARMA SpA
0024351037,J01DC03,FADO*IM 1F 1G+F 3ML,"0000000006,000",P,g,,1,FARMACEUTICI CABER Srl
0024478012,J01DA,BENCEF*12CPS 250MG,,,,,,BENVEGNA Srl
0024590022,J01MB04,PIPURIN*20CPS 400MG,"0000000000,800",O,g,"10,0000000000",20,NCSN FARMACEUTICI Srl
0024492011,J06BB05,RABUMAN BERNA*IM 1F 2ML 300UI,,,,,1,BERNA ISTITUTO SIEROTER. Srl
0024498026,J01DA,"CRISTACEF*IM 1F 500MG+1F 1,5ML",,,,,,ALFA WASSERMANN SpA
0024730018,J01XX01,BIOFOS*12CPR 1G,"0000000003,000",O,g,,,LEBEN'S Srl
0025107069,J01GB,RIBOMED*OS 12BUST 500MG,,,,,,SANOFI WINTHROP SpA
0024997013,J01MA06,SEBERCIM*14CPR 200MG,"0000000000,800",O,g,,,GLAXOSMITHKLINE SpA
0024997025,J01MA06,SEBERCIM*14CPR 400MG,"0000000000,800",O,g,"7,0000000000",14,GLAXOSMITHKLINE SpA
0025000023,J01MA06,NORFLOXACINA ABC*14CPS 400MG,"0000000000,800",O,g,"7,0000000000",14,ABC FARMACEUTICI SpA
0025013032,J01EE06,STERINOR*BB SOSP 100ML,,,,,,IST.BIOLOG.CHEMIOTERAPICO SpA
0025159029,J01GB03,MEGENTAL*BB 1F 1ML 10MG,"0000000000,240",P,g,,,A.MENARINI IND.FARM.RIUN.Srl
0024753016,J02AX,ANCOTIL*100CPR 500MG,,,,,100,ROCHE SpA
0024912026,J01DA,ABIOCEF*8CPS 500MG,,,,,,NUOVO CONSORZIO SANIT.NAZ. Srl
0025121017,J05AX05,AVIRAL*40CPR 500MG,,,,,,MEDICI DOMUS SpA
0024790014,L01AA02,LEUKERAN*25CPR 5MG,"0000000000,010",O,g,"12,5000000000",25,GLAXOSMITHKLINE SpA
0024790038,L01AA02,LEUKERAN*50CPR RIV 2MG,,,,,50,GLAXOSMITHKLINE SpA
0024693018,J01CA01,IBIMICYN*12CPS 250MG,"0000000002,000",O,g,,,I.B.I.GIOVANNI LORENZINI SpA
0024819031,J01CA,AMOXIL*12CPR 1G,,,,,,LAMPUGNANI FARMACEUTICI SpA
0024819070,J01CA04,AMOFLUX*12CPR 1G,"0000000001,500",O,g,"8,0000000000",12,LAMPUGNANI FARMACEUTICI SpA
0024828028,J01MB04,PIPEACID*20CPS 400MG,"0000000000,800",O,g,,20,ALTERNA FARMACEUTICI Srl
0025074067,L01XA01,CITOPLATINO*FL 50MG 100ML,,,,,,SANOFI-AVENTIS SpA
0024698072,J01DA,IBIDROXIL*SCIR EST.100ML 250MG,,,,,,I.B.I.GIOVANNI LORENZINI SpA
0024701017,J01DA,TIFOX*IM 1FL 1G+F 2ML,,,,,1,SELECT PHARMA SpA
0024829032,J01GB07,ZETAMICIN 100*IM IV F 100MG/ML,"0000000000,350",P,g,"0,2860000000",1,A.MENARINI IND.FARM.RIUN.Srl
0024709038,J01DB01,ZETACEF*OS SOSP 100ML 5%,"0000000002,000",O,g,,,A.MENARINI IND.FARM.RIUN.Srl
0025088030,J01DA21,OROTRIX*8CPR RIV 500MG,"0000000001,000",O,g,,8,SANCARLO FARMACEUTICI Srl
0025226022,J01XX,BRACEN*OS SOSP 150ML 2%,,,,,,NOVARTIS CONSUMER HEALTH SpA
0025495033,J01C,ANAVIR*SCIR 5% 120ML 6G,,,,,,ERREKAPPA EUROTERAPICI SpA
0025298086,J05AB01,ZOVIRAX*OS SOSP 100ML 8%,"0000000004,000",O,g,"2,0000000000",1,GLAXOSMITHKLINE SpA
0025298148,J05AB01,ZOVIRAX*INIET 5FL 250MG,"0000000004,000",P,g,"0,3130000000",5,GLAXOSMITHKLINE SpA
0025418029,J01DA,CEFODIE*IM FL 500MG+F SOLV 2ML,,,,,,SMITHKLINE BEECHAM SpA
0025306022,L04AD01,SANDIMMUN*INF 10F 5ML 50MG/ML,"0000000000,250",P,g,"10,0000000000",10,NOVARTIS FARMA SpA
0025306046,L04AD01,SANDIMMUN*50CPS 50MG,"0000000000,250",O,g,"10,0000000000",50,NOVARTIS FARMA SpA
0025506027,J01DA,CETRAZIL*OS SOSP 100ML 5%,,,,,,HERDEL Srl
0025491022,J01DD02,"CEFTIM*INIET FL 500MG/1,5ML+F","0000000004,000",P,g,,1,GLAXO ALLEN SpA
0025199011,J06BA02,SANDOGLOBULINA*EV 1G+FL 33ML+S,"0000000007,000",P,g,"0,1430000000",1,CSL BEHRING SpA
0025199023,J06BA02,SANDOGLOBULINA*EV 3G+FL100ML+S,"0000000007,000",P,g,"0,4290000000",1,CSL BEHRING SpA
0025202058,J01DD04,"ROCEFIN*IM 1FL 1G+F 3,5ML","0000000002,000",P,g,"0,5000000000",1,ROCHE SpA
0025261140,J06BA02,VENOGAMMA POLIV*FL 5G+FL 100ML,,,,,1,ALFA WASSERMANN SpA
0025202096,J01DD04,ROCEFIN*EV 1FL 1G+F 10ML,"0000000002,000",P,g,"0,5000000000",1,ROCHE SpA
0025451055,J01DB05,CEFADRIL*8CPR 1G,"0000000002,000",O,g,"4,0000000000",8,AGIPS FARMACEUTICI Srl
0025212022,J01DD02,"GLAZIDIM*IM 1FL 500MG+1F 1,5ML","0000000004,000",P,g,"0,1250000000",1,GLAXOSMITHKLINE SpA
0025266091,J06BA,IGVENA N SCLAVO*FL 50ML+SET IN,,,,,,SCLAVO SpA
0025266115,J06BA,IGVENA N SCLAVO*FL 200ML 10G,,,,,,SCLAVO SpA
0025266127,J06BA02,IGVENA N I.V.*FL 5ML 250MG,,,,,1,SCLAVO SpA
0025266139,J06BA02,IGVENA N I.V.*FL 10ML 500MG,,,,,1,SCLAVO SpA
0025858046,J01DA18,BETALACTAM*IV 1FL 2G,"0000000004,000",P,g,,1,BERGAMON Srl
0025859024,J01DD02,"STARCEF*IM 1F 500MG+F 1,5ML","0000000004,000",P,g,"0,1250000000",1,F.I.R.M.A. SpA
0025584044,J01DB05,CEOXIL*OS SOSP FL 100ML,"0000000002,000",O,g,,,MAGIS FARMACEUTICI SpA
0025887011,J01DH51,TIENAM*INFUS 1FL 250MG+250MG,"0000000002,000",P,g,,1,MERCK SHARP & DOHME SpA
0025887047,J01DH51,TIENAM*IM FL 500MG+F SOLV 2ML,"0000000002,000",P,g,"0,2500000000",1,MERCK SHARP & DOHME SpA
0025887050,J01DH51,TIENAM*INFUS FL500MG+SACCA SOL,"0000000002,000",P,g,"0,2500000000",1,MERCK SHARP & DOHME SpA
0025617034,J06BB02,IMOGAM TETANO*IM 1SIR 500UI 2M,,,,,1,AVENTIS PASTEUR MSD SpA
0025900010,J06BB04,HEPATECT*EV 1F 2ML 100UI,,,,,1,BIOTEST ITALIA Srl
0025934023,J01MA03,PEFLACIN*EV 1F 400MG 5ML,"0000000000,800",P,g,"0,5000000000",1,SANOFI SpA
0025827041,J01DA,ERMOX*IV 1F 500MG+1F,,,,,,HERDEL Srl
0025540042,L02AE01,"SUPREFACT*DEPOT 1SIR 9,45MG","0000000000,110",ID,mg,"85,9090000000",1,SANOFI SpA
0025759034,J01DB07,KETRIZIN*OS GRAT SOSP 60G 10%,"0000000001,000",O,g,"6,0000000000",1,ESSETI FARMACEUTICI Srl
0025839034,L03AB04,ROFERON A*1F 18000000UI,"0000000002,000",P,MU,,,ROCHE SpA
0025839135,L03AB04,"ROFERON A*SC 6SIR 3MUI 0,5ML","0000000002,000",P,MU,"9,0000000000",6,ROCHE SpA
0025839162,L03AB04,"ROFERON A*SC 1SIR 4,5MUI/ML","0000000002,000",P,MU,,1,ROCHE SpA
0025839402,L03AB04,ROFERON A*SC 2x6SIR 9MUI,"0000000002,000",P,MU,"54,0000000000",12,ROCHE SpA
0025773033,J06BA,"BIAVEN*IV FL 2,5G+FL 50ML",,,,,,FARMA BIAGINI SpA
0025773084,J06BA02,BIAVEN V.I.*FL 5000MG+FL 100ML,"0000000007,000",P,g,"0,7140000000",1,KEDRION SpA
0025775038,J01DA,IPATRIZINA*OS SOSP 100ML 5%,,,,,,IPA INTERNAT.PHARM.ASSOC. Srl
0025568078,J01GB06,MIGRACIN*INIET F 500MG/2ML 2ML,"0000000001,000",P,g,"0,5000000000",1,GENETICA SpA
0025787072,J01DA21,TRIXIDINE*OS SOSP 100ML 5G,"0000000001,000",O,g,,1,ASTA MEDICA SpA
0026039038,J01DD12,DARDUM*IM 1FL 500MG+F SOLV 2ML,"0000000004,000",P,g,,1,LISAPHARMA SpA
0025984081,J07BB,INFLUPOZZI SUBUNITA*FSIR 89-90,,,,,,IVP (IST.VACCINOGENO POZZI Srl
0025984168,J07BB,INFLUPOZZI SUBUNITA*FSIR 93-94,,,,,,IVP (IST.VACCINOGENO POZZI Srl
0026138230,J01CR02,CLAVULIN*BB OS 12BUST 400+57MG,"0000000001,500",O,g,"3,2000000000",12,GLAXOSMITHKLINE SpA
0026141198,J01CR02,NEODUPLAMOX*12BUST 875MG+125MG,"0000000001,500",O,g,"7,0000000000",12,VALEAS IND.CHIM.FARMAC. SpA
0026089033,J01CR,"AUGMENTIN*12CPR SOL 312,5MG",,,,,,SMITHKLINE BEECHAM SpA
0026215018,J01FA01,ERITROCIST*12CPR 500MG,"0000000001,000",O,g,,,EDMOND PHARMA Srl
0025947021,J01MB04,URODENE*20CPS 400MG,"0000000000,800",O,g,"10,0000000000",20,OFF (OFF.FARM.FIORENTINA) Srl
